"time","lat","lon","SST","SiteCode","Meadow","Region","Site","Date","Julian","Tmean","count","T90","Tmean_ma","T90_ma","DiffMean","DiffT90"
"2019-01-01",38.314998626709,-123.055000305176,11.4,"A","BB_A","BB","A",2019-01-01,1,11.4,1,11.4,NA,NA,NA,NA
"2019-01-02",38.314998626709,-123.055000305176,11.25,"A","BB_A","BB","A",2019-01-02,2,11.25,1,11.25,NA,NA,NA,NA
"2019-01-03",38.314998626709,-123.055000305176,11.79,"A","BB_A","BB","A",2019-01-03,3,11.79,1,11.79,NA,NA,NA,NA
"2019-01-04",38.314998626709,-123.055000305176,11.96,"A","BB_A","BB","A",2019-01-04,4,11.96,1,11.96,NA,NA,NA,NA
"2019-01-05",38.314998626709,-123.055000305176,12.31,"A","BB_A","BB","A",2019-01-05,5,12.31,1,12.31,NA,NA,NA,NA
"2019-01-06",38.314998626709,-123.055000305176,11.52,"A","BB_A","BB","A",2019-01-06,6,11.52,1,11.52,11.9536363636364,11.9536363636364,-0.433636363636376,-0.433636363636376
"2019-01-07",38.314998626709,-123.055000305176,12.49,"A","BB_A","BB","A",2019-01-07,7,12.49,1,12.49,12.0645454545455,12.0645454545455,0.425454545454533,0.425454545454533
"2019-01-08",38.314998626709,-123.055000305176,12.5700000000001,"A","BB_A","BB","A",2019-01-08,8,12.5700000000001,1,12.5700000000001,12.1663636363636,12.1663636363636,0.403636363636453,0.403636363636453
"2019-01-09",38.314998626709,-123.055000305176,12.65,"A","BB_A","BB","A",2019-01-09,9,12.65,1,12.65,12.21,12.21,0.439999999999991,0.439999999999991
"2019-01-10",38.314998626709,-123.055000305176,11.77,"A","BB_A","BB","A",2019-01-10,10,11.77,1,11.77,12.2454545454546,12.2454545454546,-0.475454545454554,-0.475454545454554
"2019-01-11",38.314998626709,-123.055000305176,11.78,"A","BB_A","BB","A",2019-01-11,11,11.78,1,11.78,12.2563636363636,12.2563636363636,-0.476363636363645,-0.476363636363645
"2019-01-12",38.314998626709,-123.055000305176,12.62,"A","BB_A","BB","A",2019-01-12,12,12.62,1,12.62,12.3454545454546,12.3454545454546,0.274545454545445,0.274545454545445
"2019-01-13",38.314998626709,-123.055000305176,12.37,"A","BB_A","BB","A",2019-01-13,13,12.37,1,12.37,12.3518181818182,12.3518181818182,0.018181818181807,0.018181818181807
"2019-01-14",38.314998626709,-123.055000305176,12.27,"A","BB_A","BB","A",2019-01-14,14,12.27,1,12.27,12.3554545454545,12.3554545454545,-0.0854545454545459,-0.0854545454545459
