RegionSiteCode,Region,SiteCode,SiteLatitude,SiteLongitude,SalinityMean,PrevalenceMean,SeverityMean,LesionAreaMean,Count,PrevalenceSd,PrevalenceSe,SeveritySd,SeveritySe,BladeAreaMean,LongestBladeLengthMean,LongestBladeWidthMean,SheathLengthMean,BladeAreaMeanForEpiphyteCalc,EpiphyteDryMassMean,EpiphytePerAreaMean,DensityShootsMean,PercentSeagrassMean,PercentBareMean,PercentOtherMean,SeagrassWetMassMean,MacroalgaeWetMassMean,SeagrassDryMassMean,MacroalgaeDryMassMean
AKA,AK,A,55.4966938333333,-133.169307083333,31.9,0.625,0.160617963744756,1.56052039932333,120,0.486152792664123,0.0443794751560454,0.163714322789238,0.0149450045963913,12.5154540495117,352.233333333333,2.68,51.1,11.38107024102,0.0332133333333333,0.00252910480949501,665.5,0.80875,0.184166666666667,0.00458333333333333,33.42475,0.568833333333333,NA,NA
AKB,AK,B,55.73952525,-133.312174166667,32.6,0.291666666666667,0.0256633418500801,0.233901010508333,120,0.456435464587638,0.0416666666666667,0.0186133151511071,0.00169915542970234,29.1015902090133,647.433333333333,5.1,94.8333333333333,32.4928541075133,0.00533333333333333,3.00702327156578e-4,214.833333333333,0.592916666666667,0.404166666666667,0.01125,22.8148333333333,0.459916666666667,NA,NA
AKC,AK,C,55.70733625,-133.342392083333,31.7166666666667,0.472,0.0556620376610646,0.5063869963568,125,0.501224307522703,0.0448308649438409,0.0780606430775153,0.0069819561715469,24.5990695261552,520.233333333333,4.2,110.633333333333,21.8900038448467,0.0026,1.45091835107552e-4,343,0.8275,0.16,0.0125,18.0165833333333,1.71658333333333,NA,NA
AKD,AK,D,55.2490050833333,-132.8814375,31.85,0.818965517241379,0.106519725492735,1.8799321999931,116,0.386717241518343,0.0359057944713227,0.107753639563938,0.0100046742693168,22.1181330541983,480.816666666667,4.93333333333333,96.0666666666667,22.9396666666667,0.00858620689655172,4.01435151566046e-4,134.666666666667,0.38375,0.425,0.19125,10.994,14.62325,NA,NA
AKE,AK,E,55.59760925,-133.162837666667,29.3333333333333,0.65546218487395,0.17656172519525,1.46052590625546,119,0.477226712813003,0.0437473010377394,0.147893687848965,0.0135573921371106,10.6096577343109,327.166666666667,3.38333333333333,71.4333333333333,11.0530447035,0.0044,0.00115553500689083,485.5,0.549583333333333,0.259166666666667,0.174166666666667,11.2140833333333,0.227,NA,NA
AKF,AK,F,55.28337525,-133.333575,32.45,0.608333333333333,0.204018190909988,1.00738065872333,120,0.490169467064787,0.0447461456852782,0.174000407578903,0.015883991374343,8.87876375846833,282.4,3.26666666666667,75.1666666666667,9.03956127831333,0.00123333333333333,1.4989873940721e-4,204.666666666667,0.495833333333333,0.490833333333333,0.0216666666666667,14.5206666666667,16.6596666666667,NA,NA
BCA,BC,A,51.6450616666667,-128.119533333333,27.9433333333333,0.458333333333333,0.117679496631086,1.11144279774833,120,0.500350017543742,0.0456754985428021,0.12454454600552,0.0113693095435772,23.8043642103083,752.733333333333,3.73333333333333,161.5,19.5916885709667,2.21428571428571e-4,2.05484319029434e-5,859.333333333333,0.992916666666667,0.00541666666666667,0.00166666666666667,41.73,0.835833333333333,NA,NA
BCB,BC,B,51.7707290833333,-128.059970583333,26.6283333333333,0.25,0.0611000324194513,0.81597210275,120,0.434828276739336,0.0396942093018722,0.0429787944928188,0.00392340920634928,58.9935586263033,1236.27586206897,6.93103448275862,241.068965517241,56.4356666666667,0.00132857142857143,1.99324272338036e-5,156.666666666667,0.78695652173913,0.204347826086957,0.00869565217391304,51.52,13.4658333333333,NA,NA
BCC,BC,C,51.8080516666667,-128.236965,30.09,0.291666666666667,0.146366217999575,1.206538459135,120,0.456435464587638,0.0416666666666667,0.114154608463936,0.0104208423498113,21.1945375412933,571.9,4.96666666666667,113.666666666667,21.057,0,0,488,0.904166666666667,0.05875,0.0370833333333333,13.6458333333333,5.88916666666667,NA,NA
BCD,BC,D,51.9240358333333,-128.469910833333,31.6766666666667,0.216666666666667,0.169502946325853,0.64728753292,120,0.413700929880214,0.0377655552260427,0.116576626935894,0.0106419413751089,18.2558569642217,592.366666666667,3.83333333333333,117.206896551724,18.943,0.00266333333333334,1.4878331469138e-4,1080.66666666667,0.93875,0.0354166666666667,0.0258333333333333,25.015,4.11166666666667,NA,NA
